autobahn,station_id,title,subtitle,description,latitude,longitude,extent,direction
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTczNzM=,A3 | Wiesbaden | Raststätte Heiligenroth West,Schnellladeeinrichtung,"A3 | Wiesbaden | Raststätte Heiligenroth West 56412 Heiligenroth  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW  Ladepunkt 3: DC Kupplung Combo 300 kW  Ladepunkt 4: DC Kupplung Combo, DC CHAdeMO 300 kW",50.454372,7.873155,"7.873155,50.454372,7.873155,50.454372",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTUyNDE=,A3 | Richtung Niederlande | Raststätte Hünxe Ost (2),Schnellladeeinrichtung,"A3 | Richtung Niederlande | Raststätte Hünxe Ost (2) 46569 Hünxe  Ladepunkt 1: DC Kupplung Combo 300 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 300 kW",51.636509,6.747577,"6.747577,51.636509,6.747577,51.636509",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTUyMzg=,A3 | Richtung Niederlande | Raststätte Hünxe Ost (1),Schnellladeeinrichtung,"A3 | Richtung Niederlande | Raststätte Hünxe Ost (1) 46569 Hünxe  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.636934,6.746968,"6.746968,51.636934,6.746968,51.636934",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNDM2Mw==,A3 | Regensburg | Raststätte Donautal Ost,Schnellladeeinrichtung,"A3 | Regensburg | Raststätte Donautal Ost 94036 Passau  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",48.58854,13.36671,"13.36671,48.58854,13.36671,48.58854",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNjIxNQ==,A3 | Regensburg | Jura West,Schnellladeeinrichtung,"A3 | Regensburg | Jura West 92355 Velburg  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",49.272286,11.60003,"11.60003,49.272286,11.60003,49.272286",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNDM3Nw==,A3 | Regensburg | Donautal Ost,Schnellladeeinrichtung,A3 | Regensburg | Donautal Ost 94036 Passau  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,48.588,13.366,"13.366,48.588,13.366,48.588",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNzAzOQ==,A3 | Regensburg | Bayerischer Wald Nord,Schnellladeeinrichtung,A3 | Regensburg | Bayerischer Wald Nord 94336 Hunderdorf  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,48.931488,12.70785,"12.70785,48.931488,12.70785,48.931488",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNDM2Mg==,A3 | Passau | Raststätte Donautal West,Schnellladeeinrichtung,"A3 | Passau | Raststätte Donautal West 94036 Passau  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",48.589296,13.365255,"13.365255,48.589296,13.365255,48.589296",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNDM3OA==,A3 | Passau | Donautal West,Schnellladeeinrichtung,A3 | Passau | Donautal West 94036 Passau  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,48.59,13.366,"13.366,48.59,13.366,48.59",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNzA0MA==,A3 | Passau | Bayerischer Wald Süd,Schnellladeeinrichtung,A3 | Passau | Bayerischer Wald Süd 94336 Hunderdorf  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,48.931372,12.705783,"12.705783,48.931372,12.705783,48.931372",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNjIxNA==,A3 | Nürnberg | Jura Ost,Schnellladeeinrichtung,"A3 | Nürnberg | Jura Ost 92355 Velburg  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",49.270847,11.602249,"11.602249,49.270847,11.602249,49.270847",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNTcxMw==,A3 | Nürnberg | Haidt Süd,Schnellladeeinrichtung,A3 | Nürnberg | Haidt Süd 97355 Kleinlangheim  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,49.779352,10.246493,"10.246493,49.779352,10.246493,49.779352",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMzM5MQ==,A3 | Nürnberg | Aurach Süd,Schnellladeeinrichtung,"A3 | Nürnberg | Aurach Süd 91056 Erlangen  Ladepunkt 1: DC Kupplung Combo, DC CHAdeMO 50 kW  Ladepunkt 2: AC Kupplung Typ 2 43 kW",49.580281,10.927852,"10.927852,49.580281,10.927852,49.580281",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTQ0NzY=,A3 | Köln | Raststätte Siegburg Ost,Schnellladeeinrichtung,"A3 | Köln | Raststätte Siegburg Ost 53721 Siegburg  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.809373,7.220042,"7.220042,50.809373,7.220042,50.809373",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY0OTI=,A3 | Köln | Raststätte Ohligser Heide West,Schnellladeeinrichtung,"A3 | Köln | Raststätte Ohligser Heide West 42967 Solingen  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",51.157821,6.961858,"6.961858,51.157821,6.961858,51.157821",
